ego	alter	pair	ell	t0ix	tfix	nix	stE	E
0xdd	-0x5f80a947df0b6bab	-0x14dbcd47a2a39432	0	97	331	1	1	1
0xd4	0x35c26e960cc027f7	-0x14df71f1102e6873	0	331	535	3	0	0
0x5b	0x67e1cb81adbe0a79	-0x14e21c4d6763828f	0	67	73	2	0	0
0xff	-0x2b237a71903398a1	-0x14e2c292295cdb6	1	307	622	5	0	0
0x26	0x7708054974da6060	-0x14e71711eab84218	0	140	140	3	0	0
0x1f	-0x4b582c6c06e574e8	-0x14e792cc6127da5e	0	581	581	1	0	0
0x10e	0x2b4dc1564e47bbc5	-0x14e8e2a136eddb3f	0	226	573	1	0	0
0xf2	-0x4c8574e4c27419aa	-0x14eaf37a63f1547d	12	316	620	2	0	0
0xf2	-0x60e4d9214c9629a0	-0x14eb69d54d791503	0	308	600	1	0	0
0x4f	0x3c413808d441cdb0	-0x14f4def2a34dbfeb	1	455	462	2	0	0
0x3f	-0x10c818a6ef02bd45	-0x14f5f4eb9941913d	0	566	566	1	0	0
0xf7	-0x57d1ace91e6a61e2	-0x14fa3ad14b4d919	0	112	391	2	0	0
0x19	-0x681635c57328c50	-0x150000f3de5f8ba4	0	182	182	1	0	0
0x101	-0x5402a2c2430685f9	-0x15057260bcd882b3	1	205	514	2	1	1
0xe5	0xc429b166a358c0e	-0x150cd0647e1ff74c	2	132	404	2	0	0
0x42	-0x5dbaecde57639edf	-0x150e3c6f8038a796	91	150	241	3	0	0
0x50	0x17a372ffd3c772b	-0x150fc83c2e6fd12c	0	175	188	3	0	0
0x45	0x4f3d22852020610d	-0x1510b17efb556495	43	381	425	4	0	1
0x4e	0x4d26aca1f390f772	-0x151bd1aaf65d92a2	0	181	181	1	0	0
0x71	-0x628f80f1929b60b2	-0x1523a2af2ee87a5c	0	518	518	1	0	0
0x4e	0x491c6ec8c9c6e6f4	-0x1527c0cdf41cbdf3	1	96	97	2	0	0
0x1f	0x4beca16f1f1e4610	-0x152870b653406fc4	260	321	581	3	0	0
0xf8	0x6815b297d9e4775e	-0x152c88de654162c2	141	64	509	6	0	0
0x57	0x3d591bbbacd34d9d	-0x153ea0630ac926a3	0	143	143	1	0	0
0x4b	-0x51617082722bfa03	-0x1540e40114ac03df	2	242	252	3	0	0
0x23	-0x2fa41270f5b9f67f	-0x1542997f8f6df17e	0	110	110	1	0	0
0x23	0x2c9bedac38c68974	-0x1548e2289b89e902	0	186	186	1	0	0
0xd2	-0x1f5cc676c1383685	-0x1553715af7efa95f	0	286	486	2	0	0
0x2f	0x5269dedbfe26803	-0x1553b294a60eb139	243	316	559	2	1	1
